"","Club","Div","GK","F1","F2","M1","M2","M3","M4","D1","D2","D3","D4","B1","B2","B3","B4","B5","B6","B7","Overall","Goalkeeper","Attacking","Midfield","Defense","Bench","LGmeanOvr","LGmeanAtt","LGmeanDef","OvrvsMean","AttvsMean","DefvsMean","homeGF","awayGF","homeGA","awayGA","homeDiff","awayDiff","GF","GA","Diff","LGmeanGoals","GFvsMean","GAvsMean","year"
"845","Liverpool","E0",85,86,82,88,86,86,84,86,82,81,80,83,82,81,81,80,80,80,84.1818181818182,85,84,86,82.25,81,79.6772727272727,80.225,78.8375,4.50454545454546,3.77500000000001,3.41249999999999,2.89473684210526,1.78947368421053,0.526315789473684,0.631578947368421,2.36842105263158,1.15789473684211,2.34210526315789,0.578947368421053,1.76315789473684,1.41052631578947,0.931578947368421,0.831578947368421,"2019"
"846","Livingston","SC0",62,65,63,65,65,62,62,66,64,63,63,63,62,62,62,61,61,60,63.6363636363636,62,64,63.5,64,61.5714285714286,67.6439393939394,67.9583333333333,67.6041666666667,-4.00757575757576,-3.95833333333333,-3.60416666666667,1.47368421052632,0.736842105263158,0.894736842105263,1.42105263157895,0.578947368421053,-0.684210526315789,1.10526315789474,1.15789473684211,-0.0526315789473686,1.26754385964912,-0.162280701754386,0.109649122807018,"2019"
"847","Livorno","I2",70,74,69,74,71,70,67,73,67,66,64,67,67,65,64,64,64,63,69.5454545454545,70,71.5,70.5,67.5,64.8571428571429,69.4641148325359,70.4473684210526,69.0526315789474,0.0813397129186626,1.05263157894737,-1.55263157894737,1,1.11111111111111,1,1.83333333333333,0,-0.722222222222222,1.05555555555556,1.41666666666667,-0.361111111111111,1.29678362573099,-0.241228070175439,-0.119883040935672,"2019"
"848","Lokeren","B1",69,73,71,73,71,71,70,72,71,69,69,70,69,68,68,68,68,68,70.8181818181818,69,72,71.25,70.25,68.4285714285714,71.6420454545455,72.375,70.484375,-0.82386363636364,-0.375,-0.234375,1.06666666666667,0.8,1.6,1.93333333333333,-0.533333333333333,-1.13333333333333,0.933333333333333,1.76666666666667,-0.833333333333333,1.45,-0.516666666666667,-0.316666666666667,"2019"
"849","Lorient","F2",65,72,69,73,70,70,68,72,70,68,68,69,67,67,66,66,64,63,69.5454545454545,65,70.5,70.25,69.5,66,68.0227272727273,68.7,67.525,1.52272727272727,1.8,1.97499999999999,1.31578947368421,1.36842105263158,1,1.15789473684211,0.315789473684211,0.210526315789474,1.34210526315789,1.07894736842105,0.263157894736842,1.09736842105263,0.244736842105263,0.0184210526315789,"2019"
"850","Lugo","SP2",71,72,70,74,70,70,70,73,71,68,68,70,68,67,67,67,66,66,70.6363636363636,71,71,71,70,67.2857142857143,70.5619834710744,70.6363636363636,70.0795454545455,0.0743801652892557,0.36363636363636,-0.0795454545454533,1.38095238095238,0.666666666666667,1.38095238095238,1.04761904761905,0,-0.380952380952381,1.02380952380952,1.21428571428571,-0.190476190476191,1.08874458874459,-0.0649350649350651,-0.125541125541126,"2019"
"851","Luton","E2",66,68,68,68,68,67,66,67,66,64,64,65,65,64,63,63,62,62,66.5454545454545,66,68,67.25,65.25,63.4285714285714,66.1098484848485,65.8541666666667,65.8958333333333,0.435606060606062,2.14583333333333,-0.645833333333329,2.47826086956522,1.43478260869565,0.826086956521739,1,1.65217391304348,0.434782608695652,1.95652173913043,0.91304347826087,1.04347826086956,1.32427536231884,0.632246376811594,0.411231884057971,"2019"
"852","Lyon","F1",84,85,84,85,80,80,79,80,79,78,78,78,77,77,76,76,76,75,81.0909090909091,84,84.5,81,78.75,76.4285714285714,76.3409090909091,76.875,75.625,4.75,7.625,3.125,2,1.68421052631579,1,1.47368421052632,1,0.210526315789474,1.84210526315789,1.23684210526316,0.605263157894737,1.27894736842105,0.563157894736842,0.0421052631578946,"2019"
"853","M'gladbach","D1",83,81,81,81,79,79,77,80,77,77,76,81,81,77,77,77,75,75,79.1818181818182,83,81,79,77.5,77.5714285714286,78.3030303030303,78.5,77.7222222222222,0.87878787878789,2.5,-0.222222222222229,1.82352941176471,1.41176470588235,1.29411764705882,1.17647058823529,0.529411764705882,0.235294117647059,1.61764705882353,1.23529411764706,0.382352941176471,1.58986928104575,0.0277777777777779,0.354575163398693,"2019"
"854","Macclesfield","E3",61,61,60,62,61,60,60,64,62,60,60,60,59,59,59,59,59,58,61,61,60.5,60.75,61.5,59,63.375,63.625,63.3958333333333,-2.375,-3.125,-1.89583333333334,1.1304347826087,0.956521739130435,1.52173913043478,1.69565217391304,-0.391304347826087,-0.739130434782609,1.04347826086957,1.60869565217391,-0.565217391304348,1.27626811594203,-0.232789855072464,-0.332427536231884,"2019"
"855","Magdeburg","D2",69,70,69,70,68,68,67,71,70,69,68,67,67,67,66,65,65,65,69,69,69.5,68.25,69.5,66,70.6313131313131,70.6944444444444,70.6111111111111,-1.63131313131314,-1.19444444444444,-1.11111111111111,0.941176470588235,1.11764705882353,1.11764705882353,2,-0.176470588235294,-0.882352941176471,1.02941176470588,1.55882352941176,-0.529411764705882,1.47712418300654,-0.447712418300654,-0.0816993464052287,"2019"
"856","Mainz","D1",79,74,74,79,77,74,74,77,76,76,74,73,73,73,73,73,73,73,75.8181818181818,79,74,76,75.75,73,78.3030303030303,78.5,77.7222222222222,-2.48484848484848,-4.5,-1.97222222222223,1.82352941176471,0.882352941176471,1.29411764705882,2.05882352941176,0.529411764705882,-1.17647058823529,1.35294117647059,1.67647058823529,-0.323529411764706,1.58986928104575,-0.236928104575163,-0.0866013071895424,"2019"
"857","Malaga","SP2",72,73,71,76,74,73,73,75,74,73,72,72,72,71,71,71,71,70,73.2727272727273,72,72,74,73.5,71.1428571428571,70.5619834710744,70.6363636363636,70.0795454545455,2.71074380165288,1.36363636363636,3.42045454545455,1.33333333333333,1.0952380952381,0.666666666666667,0.80952380952381,0.666666666666667,0.285714285714286,1.21428571428571,0.738095238095238,0.476190476190476,1.08874458874459,0.125541125541126,0.350649350649351,"2019"
"858","Mallorca","SP2",68,67,66,72,70,69,68,69,66,66,65,68,67,66,66,66,65,65,67.8181818181818,68,66.5,69.75,66.5,66.1428571428571,70.5619834710744,70.6363636363636,70.0795454545455,-2.74380165289257,-4.13636363636364,-3.57954545454545,1.66666666666667,0.857142857142857,0.571428571428571,1.19047619047619,1.0952380952381,-0.333333333333333,1.26190476190476,0.880952380952381,0.380952380952381,1.08874458874459,0.173160173160173,0.207792207792208,"2019"
"859","Man City","E0",86,89,86,91,90,86,84,85,85,84,84,86,86,85,83,83,81,80,86.3636363636364,86,87.5,87.75,84.5,83.4285714285714,79.6772727272727,80.225,78.8375,6.68636363636364,7.27500000000001,5.66249999999999,3,2,0.631578947368421,0.578947368421053,2.36842105263158,1.42105263157895,2.5,0.605263157894737,1.89473684210526,1.41052631578947,1.08947368421053,0.805263157894737,"2019"
"860","Man United","E0",91,87,85,87,84,83,82,81,81,80,79,84,82,81,81,81,80,79,83.6363636363636,91,86,84,80.25,81.1428571428571,79.6772727272727,80.225,78.8375,3.95909090909092,5.77500000000001,1.41249999999999,1.73684210526316,1.68421052631579,1.31578947368421,1.52631578947368,0.421052631578947,0.157894736842105,1.71052631578947,1.42105263157895,0.289473684210526,1.41052631578947,0.3,-0.0105263157894737,"2019"
"861","Mansfield","E3",64,66,65,64,64,64,64,67,66,65,65,65,64,63,63,62,62,62,64.9090909090909,64,65.5,64,65.75,63,63.375,63.625,63.3958333333333,1.53409090909091,1.875,2.35416666666666,1.65217391304348,1.34782608695652,0.652173913043478,1.1304347826087,1,0.217391304347826,1.5,0.891304347826087,0.608695652173913,1.27626811594203,0.223731884057971,0.384963768115942,"2019"
"862","Maritimo","P1",72,76,72,76,72,72,71,74,74,73,70,71,71,71,71,70,69,69,72.9090909090909,72,74,72.75,72.75,70.2857142857143,73.5808080808081,74.3055555555556,73.1944444444444,-0.671717171717177,-0.305555555555557,-0.444444444444443,1,0.529411764705882,1,1.58823529411765,0,-1.05882352941176,0.764705882352941,1.29411764705882,-0.529411764705882,1.34967320261438,-0.584967320261438,0.0555555555555558,"2019"
"863","Marseille","F1",83,84,77,84,84,83,80,83,82,78,77,77,77,77,75,75,75,74,81.3636363636364,83,80.5,82.75,80,75.7142857142857,76.3409090909091,76.875,75.625,5.02272727272727,3.625,4.375,1.63157894736842,1.52631578947368,0.894736842105263,1.84210526315789,0.736842105263158,-0.31578947368421,1.57894736842105,1.36842105263158,0.210526315789474,1.27894736842105,0.3,-0.0894736842105264,"2019"
"864","Metz","F2",71,72,72,74,70,70,70,73,72,72,70,70,70,70,69,67,67,66,71.4545454545455,71,72,71,71.75,68.4285714285714,68.0227272727273,68.7,67.525,3.43181818181817,3.3,4.22499999999999,1.78947368421053,1.36842105263158,0.578947368421053,0.631578947368421,1.21052631578947,0.736842105263158,1.57894736842105,0.605263157894737,0.973684210526316,1.09736842105263,0.481578947368421,0.492105263157895,"2019"
"865","Middlesbrough","E1",73,75,73,74,73,73,73,75,74,72,71,72,72,71,70,70,70,70,73.2727272727273,73,74,73.25,73,70.7142857142857,71.6212121212121,72.1875,71.3333333333333,1.65151515151514,1.8125,1.66666666666667,1,1.1304347826087,0.739130434782609,1.04347826086957,0.260869565217391,0.0869565217391304,1.06521739130435,0.891304347826087,0.173913043478261,1.33423913043478,-0.269021739130435,0.442934782608696,"2019"
"866","Milan","I1",83,88,83,82,82,82,80,82,80,80,80,82,80,79,78,78,77,77,82,83,85.5,81.5,80.5,78.7142857142857,78.0954545454545,80.3,77.1125,3.90454545454546,5.2,3.3875,1.63157894736842,1.26315789473684,0.894736842105263,1,0.736842105263158,0.263157894736842,1.44736842105263,0.947368421052632,0.5,1.34078947368421,0.106578947368421,0.393421052631579,"2019"
"867","Millwall","E1",70,70,69,73,71,69,69,73,71,70,69,69,69,69,68,68,68,67,70.3636363636364,70,69.5,70.5,70.75,68.2857142857143,71.6212121212121,72.1875,71.3333333333333,-1.25757575757576,-2.6875,-0.583333333333329,1.1304347826087,0.956521739130435,1.17391304347826,1.60869565217391,-0.0434782608695654,-0.652173913043478,1.04347826086957,1.39130434782609,-0.347826086956522,1.33423913043478,-0.290760869565217,-0.0570652173913044,"2019"
"868","Milton Keynes Dons","E3",66,67,67,67,66,65,62,67,67,66,65,66,64,63,62,62,62,61,65.9090909090909,66,67,65,66.25,62.8571428571429,63.375,63.625,63.3958333333333,2.53409090909091,3.375,2.85416666666666,1.52173913043478,1.56521739130435,0.608695652173913,1.52173913043478,0.91304347826087,0.0434782608695652,1.54347826086957,1.06521739130435,0.478260869565218,1.27626811594203,0.267210144927536,0.211050724637681,"2019"
"869","Monaco","F1",83,84,79,80,79,78,78,83,79,78,76,77,76,75,75,75,75,74,79.7272727272727,83,81.5,78.75,79,75.2857142857143,76.3409090909091,76.875,75.625,3.38636363636364,4.625,3.375,1,1,1.52631578947368,1.47368421052632,-0.526315789473684,-0.473684210526316,1,1.5,-0.5,1.27894736842105,-0.278947368421053,-0.221052631578947,"2019"
"870","Montpellier","F1",81,76,76,77,76,75,74,78,78,77,75,76,74,72,71,70,69,69,76.6363636363636,81,76,75.5,77,71.5714285714286,76.3409090909091,76.875,75.625,0.295454545454547,-0.875,1.375,1.63157894736842,1.15789473684211,1.05263157894737,1.15789473684211,0.578947368421053,0,1.39473684210526,1.10526315789474,0.289473684210527,1.27894736842105,0.115789473684211,0.173684210526316,"2019"
"871","Morecambe","E3",63,63,59,65,64,63,62,61,60,56,56,62,60,60,59,59,57,57,61.0909090909091,63,61,63.5,58.25,59.1428571428571,63.375,63.625,63.3958333333333,-2.28409090909091,-2.625,-5.14583333333334,1.43478260869565,0.91304347826087,1.34782608695652,1.69565217391304,0.0869565217391304,-0.782608695652174,1.17391304347826,1.52173913043478,-0.347826086956522,1.27626811594203,-0.102355072463768,-0.245471014492754,"2019"
"872","Moreirense","P1",69,72,71,72,72,71,71,74,73,73,72,70,70,70,69,69,69,68,71.8181818181818,69,71.5,71.5,73,69.2857142857143,73.5808080808081,74.3055555555556,73.1944444444444,-1.76262626262627,-2.80555555555556,-0.194444444444443,1.05882352941176,1.23529411764706,1.11764705882353,1.47058823529412,-0.0588235294117647,-0.235294117647059,1.14705882352941,1.29411764705882,-0.147058823529412,1.34967320261438,-0.202614379084967,0.0555555555555556,"2019"
"873","Motherwell","SC0",70,66,64,69,67,66,65,68,67,66,62,65,64,64,64,63,62,61,66.3636363636364,70,65,66.75,65.75,63.2857142857143,67.6439393939394,67.9583333333333,67.6041666666667,-1.28030303030303,-2.95833333333333,-1.85416666666667,1.52631578947368,0.894736842105263,1.05263157894737,1.89473684210526,0.473684210526316,-1,1.21052631578947,1.47368421052632,-0.263157894736842,1.26754385964912,-0.0570175438596492,-0.206140350877193,"2019"
"874","Mouscron","B1",68,73,66,69,68,68,66,68,68,68,67,66,65,65,65,64,64,64,68.0909090909091,68,69.5,67.75,67.75,64.7142857142857,71.6420454545455,72.375,70.484375,-3.55113636363636,-2.875,-2.734375,1.13333333333333,1.06666666666667,0.666666666666667,1.53333333333333,0.466666666666667,-0.466666666666667,1.1,1.1,0,1.45,-0.35,0.35,"2019"
"875","NAC Breda","N1",74,68,68,70,68,67,67,69,67,66,66,67,67,66,65,65,65,65,68.1818181818182,74,68,68,67,65.7142857142857,70.8787878787879,72.1666666666667,69.8472222222222,-2.69696969696969,-4.16666666666667,-2.84722222222223,1.05882352941176,0.647058823529412,1.76470588235294,2.58823529411765,-0.705882352941176,-1.94117647058824,0.852941176470588,2.17647058823529,-1.32352941176471,1.73366013071895,-0.880718954248366,-0.44281045751634,"2019"
"876","Nacional","P1",72,72,71,73,71,70,70,70,70,69,69,69,69,69,69,69,68,68,70.6363636363636,72,71.5,71,69.5,68.7142857142857,73.5808080808081,74.3055555555556,73.1944444444444,-2.94444444444444,-2.80555555555556,-3.69444444444444,0.705882352941177,1.23529411764706,1.29411764705882,3,-0.588235294117647,-1.76470588235294,0.970588235294118,2.14705882352941,-1.17647058823529,1.34967320261438,-0.379084967320261,-0.797385620915033,"2019"
"877","Nancy","F2",69,69,68,68,68,67,67,70,69,68,67,68,67,67,67,67,66,66,68.1818181818182,69,68.5,67.5,68.5,66.8571428571429,68.0227272727273,68.7,67.525,0.159090909090907,-0.200000000000003,0.974999999999994,0.842105263157895,1.05263157894737,1.15789473684211,1.47368421052632,-0.315789473684211,-0.421052631578947,0.947368421052632,1.31578947368421,-0.368421052631579,1.09736842105263,-0.15,-0.218421052631579,"2019"
"878","Nantes","F1",79,78,76,78,76,75,73,78,77,77,75,75,74,73,71,71,70,70,76.5454545454545,79,77,75.5,76.75,72,76.3409090909091,76.875,75.625,0.204545454545453,0.125,1.125,1.84210526315789,0.684210526315789,1.26315789473684,1.26315789473684,0.578947368421053,-0.578947368421053,1.26315789473684,1.26315789473684,0,1.27894736842105,-0.0157894736842106,0.0157894736842106,"2019"
"879","Napoli","I1",79,88,87,87,84,83,81,87,84,81,81,81,81,81,79,79,78,78,83.8181818181818,79,87.5,83.75,83.25,79.5714285714286,78.0954545454545,80.3,77.1125,5.72272727272727,7.2,6.1375,2.15789473684211,1.73684210526316,0.842105263157895,1.05263157894737,1.31578947368421,0.68421052631579,1.94736842105263,0.947368421052632,1,1.34078947368421,0.606578947368421,0.393421052631579,"2019"
"880","Newcastle","E0",78,77,76,78,77,76,76,78,78,76,76,76,76,75,75,75,74,74,76.9090909090909,78,76.5,76.75,77,75,79.6772727272727,80.225,78.8375,-2.76818181818182,-3.72499999999999,-1.83750000000001,1.26315789473684,0.947368421052632,1.31578947368421,1.21052631578947,-0.0526315789473686,-0.263157894736842,1.10526315789474,1.26315789473684,-0.157894736842105,1.41052631578947,-0.305263157894737,0.147368421052632,"2019"
"881","Newport County","E3",63,62,62,64,62,62,62,62,62,62,62,62,62,61,61,59,59,58,62.2727272727273,63,62,62.5,62,60.2857142857143,63.375,63.625,63.3958333333333,-1.10227272727273,-1.625,-1.39583333333334,1.39130434782609,1.17391304347826,0.956521739130435,1.60869565217391,0.434782608695652,-0.434782608695652,1.28260869565217,1.28260869565217,0,1.27626811594203,0.00634057971014479,-0.00634057971014479,"2019"
"882","Nice","F1",77,83,79,78,77,75,74,80,76,75,75,75,73,72,72,71,71,71,77.1818181818182,77,81,76,76.5,72.1428571428571,76.3409090909091,76.875,75.625,0.840909090909093,4.125,0.875,1,0.578947368421053,0.736842105263158,1.10526315789474,0.263157894736842,-0.526315789473684,0.789473684210526,0.921052631578947,-0.131578947368421,1.27894736842105,-0.489473684210526,0.357894736842105,"2019"
"883","Nimes","F1",72,70,70,74,73,72,72,72,70,69,68,70,70,69,68,68,68,68,71.0909090909091,72,70,72.75,69.75,68.7142857142857,76.3409090909091,76.875,75.625,-5.25,-6.875,-5.875,1.57894736842105,1.42105263157895,1.05263157894737,2,0.526315789473684,-0.578947368421053,1.5,1.52631578947368,-0.0263157894736841,1.27894736842105,0.221052631578947,-0.247368421052631,"2019"
"884","Niort","F2",69,70,65,68,66,65,65,68,68,65,65,65,65,64,64,63,63,62,66.7272727272727,69,67.5,66,66.5,63.7142857142857,68.0227272727273,68.7,67.525,-1.29545454545455,-1.2,-1.02500000000001,1,0.789473684210526,0.894736842105263,1.26315789473684,0.105263157894737,-0.473684210526316,0.894736842105263,1.07894736842105,-0.184210526315789,1.09736842105263,-0.202631578947368,0.0184210526315789,"2019"
"885","Northampton","E3",58,65,64,64,64,64,64,66,63,63,62,63,63,63,62,61,61,59,63.3636363636364,58,64.5,64,63.5,61.7142857142857,63.375,63.625,63.3958333333333,-0.0113636363636331,0.875,0.104166666666664,1.30434782608696,1.47826086956522,1.17391304347826,1.56521739130435,0.130434782608696,-0.0869565217391306,1.39130434782609,1.3695652173913,0.0217391304347825,1.27626811594203,0.115036231884058,-0.0932971014492754,"2019"
"886","Norwich","E1",73,74,73,73,72,72,72,75,72,71,70,72,71,71,71,71,70,69,72.4545454545455,73,73.5,72.25,72,70.7142857142857,71.6212121212121,72.1875,71.3333333333333,0.833333333333329,1.3125,0.666666666666671,2.21739130434783,1.82608695652174,1.47826086956522,1,0.739130434782609,0.826086956521739,2.02173913043478,1.23913043478261,0.782608695652174,1.33423913043478,0.6875,0.0951086956521738,"2019"
"887","Nott'm Forest","E1",71,76,75,75,73,73,73,72,71,71,71,74,73,72,72,71,70,70,72.8181818181818,71,75.5,73.5,71.25,71.7142857142857,71.6212121212121,72.1875,71.3333333333333,1.19696969696969,3.3125,-0.0833333333333286,1.47826086956522,1.17391304347826,0.91304347826087,1.43478260869565,0.565217391304348,-0.260869565217391,1.32608695652174,1.17391304347826,0.152173913043478,1.33423913043478,-0.00815217391304324,0.160326086956522,"2019"
"888","Notts County","E3",61,65,64,66,66,64,64,66,65,65,64,64,63,63,63,62,62,62,64.5454545454545,61,64.5,65,65,62.7142857142857,63.375,63.625,63.3958333333333,1.17045454545455,0.875,1.60416666666666,1,1.08695652173913,1.47826086956522,2.17391304347826,-0.478260869565217,-1.08695652173913,1.04347826086957,1.82608695652174,-0.782608695652174,1.27626811594203,-0.232789855072464,-0.54981884057971,"2019"
"889","Numancia","SP2",68,71,68,74,71,69,69,73,71,71,70,70,69,69,68,68,68,67,70.4545454545455,68,69.5,70.75,71.25,68.4285714285714,70.5619834710744,70.6363636363636,70.0795454545455,-0.107438016528931,-1.13636363636364,1.17045454545455,1.42857142857143,0.666666666666667,1,1.38095238095238,0.428571428571429,-0.714285714285714,1.04761904761905,1.19047619047619,-0.142857142857143,1.08874458874459,-0.0411255411255411,-0.101731601731602,"2019"
"890","Nurnberg","D1",73,74,73,76,75,74,74,74,74,73,72,71,70,70,70,69,69,69,73.8181818181818,73,73.5,74.75,73.25,69.7142857142857,78.3030303030303,78.5,77.7222222222222,-4.48484848484848,-5,-4.47222222222223,0.941176470588235,0.588235294117647,1.29411764705882,2.70588235294118,-0.352941176470588,-2.11764705882353,0.764705882352941,2,-1.23529411764706,1.58986928104575,-0.82516339869281,-0.410130718954248,"2019"
"891","Oldham","E3",63,67,64,67,65,64,64,64,63,62,61,62,62,61,61,61,60,60,64,63,65.5,65,62.5,61,63.375,63.625,63.3958333333333,0.625,1.875,-0.895833333333336,1.82608695652174,1.08695652173913,1.43478260869565,1.17391304347826,0.391304347826087,-0.0869565217391306,1.45652173913043,1.30434782608696,0.152173913043478,1.27626811594203,0.180253623188406,-0.0280797101449275,"2019"
"892","Oostende","B1",70,72,72,72,72,71,69,74,73,70,69,70,69,69,69,69,68,67,71.2727272727273,70,72,71,71.5,68.7142857142857,71.6420454545455,72.375,70.484375,-0.369318181818187,-0.375,1.015625,1,0.933333333333333,1.6,1.86666666666667,-0.6,-0.933333333333333,0.966666666666667,1.73333333333333,-0.766666666666667,1.45,-0.483333333333333,-0.283333333333333,"2019"
"893","Orleans","F2",66,66,64,69,66,64,64,67,67,66,64,66,64,63,63,63,62,62,65.7272727272727,66,65,65.75,66,63.2857142857143,68.0227272727273,68.7,67.525,-2.29545454545455,-3.7,-1.52500000000001,1.10526315789474,1.57894736842105,1.10526315789474,1.68421052631579,0,-0.105263157894737,1.34210526315789,1.39473684210526,-0.0526315789473686,1.09736842105263,0.244736842105263,-0.297368421052632,"2019"
"894","Osasuna","SP2",71,72,72,74,73,72,72,71,70,70,68,72,71,71,69,68,68,68,71.3636363636364,71,72,72.75,69.75,69.5714285714286,70.5619834710744,70.6363636363636,70.0795454545455,0.801652892561975,1.36363636363636,-0.329545454545453,1.61904761904762,1.19047619047619,0.333333333333333,1.33333333333333,1.28571428571429,-0.142857142857143,1.4047619047619,0.833333333333333,0.571428571428571,1.08874458874459,0.316017316017316,0.255411255411256,"2019"
"895","Oviedo","SP2",71,73,72,75,73,73,70,73,73,72,71,71,70,70,70,69,69,68,72.3636363636364,71,72.5,72.75,72.25,69.5714285714286,70.5619834710744,70.6363636363636,70.0795454545455,1.80165289256198,1.86363636363636,2.17045454545455,1.42857142857143,0.857142857142857,1.04761904761905,1.23809523809524,0.380952380952381,-0.380952380952381,1.14285714285714,1.14285714285714,0,1.08874458874459,0.054112554112554,-0.054112554112554,"2019"
"896","Oxford","E2",67,66,66,69,69,68,68,67,66,65,62,67,66,65,64,63,62,61,66.6363636363636,67,66,68.5,65,64,66.1098484848485,65.8541666666667,65.8958333333333,0.526515151515156,0.145833333333329,-0.895833333333329,1.47826086956522,1.04347826086957,1.17391304347826,1.60869565217391,0.304347826086956,-0.565217391304348,1.26086956521739,1.39130434782609,-0.130434782608696,1.32427536231884,-0.0634057971014494,-0.0670289855072463,"2019"
"897","Paderborn","D2",69,71,70,71,69,68,68,70,70,69,68,68,68,67,66,66,66,66,69.3636363636364,69,70.5,69,69.25,66.7142857142857,70.6313131313131,70.6944444444444,70.6111111111111,-1.26767676767678,-0.194444444444443,-1.36111111111111,2.94117647058824,1.52941176470588,1.35294117647059,1.58823529411765,1.58823529411765,-0.0588235294117647,2.23529411764706,1.47058823529412,0.764705882352941,1.47712418300654,0.758169934640523,0.00653594771241828,"2019"
"898","Padova","I2",65,67,67,70,68,67,67,68,68,67,66,67,67,66,66,66,66,66,67.2727272727273,65,67,68,67.25,66.2857142857143,69.4641148325359,70.4473684210526,69.0526315789474,-2.19138755980862,-3.44736842105263,-1.80263157894737,0.777777777777778,1.22222222222222,0.833333333333333,1.88888888888889,-0.0555555555555556,-0.666666666666667,1,1.36111111111111,-0.361111111111111,1.29678362573099,-0.296783625730994,-0.064327485380117,"2019"
"899","Palermo","I2",71,74,72,74,74,73,69,75,72,72,70,70,70,69,69,69,68,68,72.3636363636364,71,73,72.5,72.25,69,69.4641148325359,70.4473684210526,69.0526315789474,2.89952153110048,2.55263157894737,3.19736842105263,1.72222222222222,1.44444444444444,0.888888888888889,1.22222222222222,0.833333333333333,0.222222222222222,1.58333333333333,1.05555555555556,0.527777777777778,1.29678362573099,0.286549707602339,0.241228070175439,"2019"
"900","Paris FC","F2",69,69,68,68,67,65,65,69,67,66,65,67,66,65,65,64,64,61,67.0909090909091,69,68.5,66.25,66.75,64.5714285714286,68.0227272727273,68.7,67.525,-0.931818181818187,-0.200000000000003,-0.775000000000006,1.15789473684211,0.736842105263158,0.315789473684211,0.842105263157895,0.842105263157895,-0.105263157894737,0.947368421052632,0.578947368421053,0.368421052631579,1.09736842105263,-0.15,0.518421052631579,"2019"
"901","Paris SG","F1",88,92,89,88,86,84,84,88,83,82,79,83,83,82,81,80,77,77,85.7272727272727,88,90.5,85.5,83,80.4285714285714,76.3409090909091,76.875,75.625,9.38636363636364,13.625,7.375,3.31578947368421,2.21052631578947,0.526315789473684,1.31578947368421,2.78947368421053,0.894736842105263,2.76315789473684,0.921052631578947,1.8421052631579,1.27894736842105,1.48421052631579,0.357894736842105,"2019"
"902","Parma","I1",75,78,77,75,75,72,69,73,71,71,70,74,74,74,72,72,71,69,73.2727272727273,75,77.5,72.75,71.25,72.2857142857143,78.0954545454545,80.3,77.1125,-4.82272727272728,-2.8,-5.8625,0.947368421052632,1.21052631578947,1.31578947368421,1.89473684210526,-0.368421052631579,-0.684210526315789,1.07894736842105,1.60526315789474,-0.526315789473684,1.34078947368421,-0.261842105263158,-0.264473684210526,"2019"
"903","Perugia","I2",74,72,68,71,70,69,67,71,71,68,68,70,68,65,64,63,63,63,69.9090909090909,74,70,69.25,69.5,65.1428571428571,69.4641148325359,70.4473684210526,69.0526315789474,0.444976076555022,-0.44736842105263,0.44736842105263,1.55555555555556,1.16666666666667,1.22222222222222,1.5,0.333333333333333,-0.333333333333333,1.36111111111111,1.36111111111111,0,1.29678362573099,0.064327485380117,-0.064327485380117,"2019"
"904","Pescara","I2",71,70,69,72,71,68,66,70,70,69,69,68,67,67,66,66,66,66,69.5454545454545,71,69.5,69.25,69.5,66.5714285714286,69.4641148325359,70.4473684210526,69.0526315789474,0.0813397129186626,-0.94736842105263,0.44736842105263,1.55555555555556,1.22222222222222,0.944444444444444,1.61111111111111,0.611111111111111,-0.388888888888889,1.38888888888889,1.27777777777778,0.111111111111111,1.29678362573099,0.0921052631578947,0.0190058479532165,"2019"
"905","Peterboro","E2",63,70,67,70,70,67,65,70,67,66,65,67,67,65,64,64,63,63,67.2727272727273,63,68.5,68,67,64.7142857142857,66.1098484848485,65.8541666666667,65.8958333333333,1.16287878787878,2.64583333333333,1.10416666666667,1.34782608695652,1.73913043478261,1.21739130434783,1.47826086956522,0.130434782608696,0.260869565217391,1.54347826086957,1.34782608695652,0.195652173913043,1.32427536231884,0.219202898550725,-0.0235507246376812,"2019"
"906","Plymouth","E2",66,66,63,70,65,65,65,66,65,65,65,65,65,64,64,64,64,64,65.5454545454545,66,64.5,66.25,65.25,64.2857142857143,66.1098484848485,65.8541666666667,65.8958333333333,-0.564393939393938,-1.35416666666667,-0.645833333333329,1.56521739130435,0.869565217391304,1.65217391304348,1.82608695652174,-0.0869565217391304,-0.956521739130435,1.21739130434783,1.73913043478261,-0.521739130434782,1.32427536231884,-0.106884057971014,-0.414855072463768,"2019"
"907","Port Vale","E3",65,64,62,65,63,63,60,65,64,62,61,61,60,60,60,60,60,60,63.0909090909091,65,63,62.75,63,60.1428571428571,63.375,63.625,63.3958333333333,-0.284090909090907,-0.625,-0.395833333333336,1.04347826086957,0.652173913043478,1.56521739130435,0.826086956521739,-0.521739130434783,-0.173913043478261,0.847826086956522,1.19565217391304,-0.347826086956522,1.27626811594203,-0.428442028985507,0.0806159420289856,"2019"
"908","Portimonense","P1",70,78,77,75,73,72,71,72,72,70,70,72,69,69,69,69,68,67,72.7272727272727,70,77.5,72.75,71,69,73.5808080808081,74.3055555555556,73.1944444444444,-0.853535353535349,3.19444444444444,-2.19444444444444,1.70588235294118,0.882352941176471,1.41176470588235,2.05882352941176,0.294117647058823,-1.17647058823529,1.29411764705882,1.73529411764706,-0.441176470588236,1.34967320261438,-0.0555555555555558,-0.38562091503268,"2019"
