"","GameNum","X","Season","Date","Div","Country","League","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HomeOverall","HomeGoalkeeper","HomeAttacking","HomeMidfield","HomeDefense","HomeBench","AwayOverall","AwayGoalkeeper","AwayAttacking","AwayMidfield","AwayDefense","AwayBench","GoalDiff","TotalGoals"
"133",133,810,"2018/2019","2019-05-18 00:00:00","F1","France","Le Championnat","Montpellier","Nantes",1,1,"D",16,10,2,2,76.6363636363636,81,76,75.5,77,71.5714285714286,76.5454545454545,79,77,75.5,76.75,72,0,2
"16349",16349,20390,"2016/2017","2016-12-17 00:00:00","SP1","Spain","La Liga Primera Division","Sevilla","Malaga",4,1,"H",9,16,5,3,81.6363636363636,81,81.5,82.75,80.75,79.7142857142857,78.1818181818182,81,77,78.75,77.5,76,3,5
"13819",13819,17291,"2016/2017","2017-04-09 00:00:00","D2","Germany","Bundesliga 2","Erzgebirge Aue","Munich 1860",3,0,"H",NA,NA,NA,NA,67.4545454545455,70,68,67.75,66.25,65.8571428571429,71.6363636363636,69,72.5,72.25,71.25,69,3,3
"109",109,786,"2018/2019","2019-05-18 00:00:00","D1","Germany","Bundesliga 1","Fortuna Dusseldorf","Hannover",2,1,"H",15,14,7,3,73.2727272727273,73,73,73.5,73.25,71.5714285714286,75.4545454545455,76,75.5,75.25,75.5,73,1,3
"1276",1276,2146,"2018/2019","2019-03-30 00:00:00","E0","England","Premier League","Brighton","Southampton",0,1,"A",14,8,1,2,76.9090909090909,79,77,77,76.25,75,77.7272727272727,77,77,78,78,75.2857142857143,-1,1
"14377",14377,18011,"2016/2017","2017-03-18 00:00:00","I2","Italy","Serie B","Carpi","Spal",1,4,"A",NA,NA,NA,NA,71.7272727272727,73,72.5,71.75,71,66.8571428571429,68.1818181818182,70,72.5,67.75,66,65,-3,5
"11624",11624,14676,"2017/2018","2017-09-26 00:00:00","E1","England","Championship","Cardiff","Leeds",3,1,"H",16,8,6,3,70.8181818181818,70,70,71.25,71,69,73.2727272727273,75,72.5,73.5,73,69.2857142857143,2,4
"7871",7871,10172,"2017/2018","2018-03-13 00:00:00","E1","England","Championship","Wolves","Reading",3,0,"H",14,2,8,0,74.8181818181818,72,75.5,74.75,75.25,70.5714285714286,72.7272727272727,75,73.5,71.5,73,70.7142857142857,3,3
"13417",13417,16803,"2016/2017","2017-04-29 00:00:00","D2","Germany","Bundesliga 2","Karlsruhe","Kaiserslautern",1,3,"A",NA,NA,NA,NA,69.4545454545455,69,69.5,70.75,68.25,66.8571428571429,70.1818181818182,69,68.5,71.5,70,67.1428571428571,-2,4
"8784",8784,11253,"2017/2018","2018-02-04 00:00:00","B1","Belgium","Jupiler League","Club Brugge","Charleroi",3,3,"D",10,8,7,6,74.9090909090909,74,75.5,75.5,74.25,71.8571428571429,70.3636363636364,73,70,70.5,69.75,67.8571428571429,0,6
"8587",8587,11026,"2017/2018","2018-02-11 00:00:00","SP2","Spain","La Liga Segunda Division","Tenerife","Cordoba",5,1,"H",22,17,11,5,72,75,73,72.25,70.5,69,69.9090909090909,71,69.5,70.25,69.5,66.1428571428571,4,6
"14851",14851,18577,"2016/2017","2017-02-26 00:00:00","B1","Belgium","Jupiler League","Gent","Mouscron",3,1,"H",NA,NA,NA,NA,73.9090909090909,75,75,73.75,73.25,72.1428571428571,67.1818181818182,69,66.5,67.5,66.75,64.7142857142857,2,4
"10190",10190,12953,"2017/2018","2017-12-02 00:00:00","E1","England","Championship","Bristol City","Middlesbrough",2,1,"H",15,7,7,1,71.1818181818182,69,70.5,71.25,72,68.4285714285714,73.4545454545455,73,73.5,74.5,72.5,71.2857142857143,1,3
"17581",17581,21875,"2016/2017","2016-10-23 00:00:00","I1","Italy","Serie A","Empoli","Chievo",0,0,"D",8,13,3,2,73.9090909090909,76,74.5,73.75,73.25,71.2857142857143,76.9090909090909,80,75.5,77.5,76.25,74.5714285714286,0,0
